company,title,location,location_metro,location_type,salary,annual_salary_min,annual_salary_max,seniority,function,date_posted,source_url
carta,"Senior Software Engineer, Fund Operations","Toronto, Ontario, Canada","Toronto, Canada",onsite,"$142,800 - $213,000",142800.0,213000.0,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7444709003
carta,"Senior Software Engineer I, Fund Admin, Financial Reporting","Toronto, Ontario, Canada","Toronto, Canada",onsite,"$142,800 - $168,000",142800.0,168000.0,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7491202003
carta,"Senior Software Engineer I, Fund Admin, Financial Reporting","Waterloo, Ontario, Canada","Waterloo, Canada",onsite,"$142,800 - $168,000",142800.0,168000.0,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7499347003
carta,"Senior Software Engineer I, Integrations ","Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",onsite,,,,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6266691003
carta,"Senior Software Engineer, Limited Partner Portfolio Analytics","London, England","London, UK",onsite,,,,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7528273003
carta,"Senior / Strategic Account Executive, Fund Admin","San Francisco, CA",San Francisco Bay Area,onsite,"$332,000 - $355,000",332000.0,355000.0,senior,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6359140003
carta,"Senior / Strategic Account Executive, Fund Admin","New York, NY",New York Metro,onsite,"$325,000 - $355,000",325000.0,355000.0,senior,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6359143003
carta,"Senior Talent Acquisition Partner, AMEA","Singapore, Singapore",Singapore,onsite,,,,senior,people,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7535696003
carta,"Staff Engineer, Enterprise Systems Architect","New York, NY; Seattle, WA; Santa Clara, CA; Salt Lake City, UT",New York Metro,onsite,"$259,200 - $324,000",259200.0,324000.0,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7383216003
carta,"Staff Engineer, Enterprise Systems Architect","Waterloo, Ontario, Canada","Waterloo, Canada",onsite,"$241,600 - $302,000",241600.0,302000.0,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7501294003
carta,"Strategic Account Executive, Private Equity","London, England","London, UK",onsite,,,,mid,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7492870003
carta,Strategy & BizOps Intern,Singapore,Singapore,onsite,,,,entry,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7497885003
carta,"Support Analyst, Corporations","Sandy, UT",Salt Lake City Metro,onsite,,,,mid,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/5054068003
carta,"Support Analyst, Corporations","Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",onsite,,,,mid,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/4936573003
pulley,"Senior Backend Engineer, Core Product",Remote,Unknown,remote,"$180,000 - $200,000",180000.0,200000.0,senior,engineering,2026-02-17 16:49:53,https://job-boards.greenhouse.io/pulley/jobs/5123508008
pulley,"Senior Fullstack Engineer, AI",Remote,Unknown,remote,"$180,000 - $200,000",180000.0,200000.0,senior,engineering,2026-02-17 11:52:12,https://job-boards.greenhouse.io/pulley/jobs/5122727008
pulley,"Frontend Engineer II, Core Product",Remote,Unknown,remote,"$150,000 - $180,000",150000.0,180000.0,mid,engineering,2026-02-17 11:51:40,https://job-boards.greenhouse.io/pulley/jobs/5122750008
pulley,Senior Channel Partner Manager,Remote,Unknown,remote,"$157,000 - $175,000",157000.0,175000.0,manager,sales,2026-01-27 20:18:23,https://job-boards.greenhouse.io/pulley/jobs/5098932008
pulley,Senior Financial Reporting Analyst,Remote,Unknown,remote,"$93,000 - $113,000",93000.0,113000.0,senior,operations,2026-01-26 18:15:51,https://job-boards.greenhouse.io/pulley/jobs/5052414008
pulley,Product Marketing Manager,Remote,Unknown,remote,"$140,000 - $155,000",140000.0,155000.0,manager,marketing,2026-01-21 11:43:32,https://job-boards.greenhouse.io/pulley/jobs/5049980008
